0;64746ad0f2b84ce2af1f1b627c735866;chapter;;;;Advanced Rails;/64746ad0f2b84ce2af1f1b627c735866;;
0;1851635ba4914b078743b4d834916648;sequential;;;;1851635ba4914b078743b4d834916648;/64746ad0f2b84ce2af1f1b627c735866/1851635ba4914b078743b4d834916648;;
0;2fd1d56fbdc94fc7842cd93ca2047097;vertical;;;;Lecture Video;/64746ad0f2b84ce2af1f1b627c735866/1851635ba4914b078743b4d834916648/2fd1d56fbdc94fc7842cd93ca2047097;;
0;d5d2f2b330e643338e18105617349c77;vertical;;;;Peer-Learning Question;/64746ad0f2b84ce2af1f1b627c735866/1851635ba4914b078743b4d834916648/d5d2f2b330e643338e18105617349c77;;
0;05258065a61a4b2c900b5eee50844aed;vertical;;;;Peer-Learning Question Video;/64746ad0f2b84ce2af1f1b627c735866/1851635ba4914b078743b4d834916648/05258065a61a4b2c900b5eee50844aed;;
0;f1833d117fca42a7ad530e1ed39a1f2e;sequential;;;;f1833d117fca42a7ad530e1ed39a1f2e;/64746ad0f2b84ce2af1f1b627c735866/f1833d117fca42a7ad530e1ed39a1f2e;;
0;ef2d265c74fa434aba25c21e2e53dcd0;vertical;;;;Lecture Video;/64746ad0f2b84ce2af1f1b627c735866/f1833d117fca42a7ad530e1ed39a1f2e/ef2d265c74fa434aba25c21e2e53dcd0;;
0;46875ad902fb4ba685759e161e32406f;vertical;;;;Peer-Learning Question;/64746ad0f2b84ce2af1f1b627c735866/f1833d117fca42a7ad530e1ed39a1f2e/46875ad902fb4ba685759e161e32406f;;
0;d9711e7dfc3d47e99e0eb0776b44ce0c;vertical;;;;Peer-Learning Question Video;/64746ad0f2b84ce2af1f1b627c735866/f1833d117fca42a7ad530e1ed39a1f2e/d9711e7dfc3d47e99e0eb0776b44ce0c;;
0;d82ff0c3f1e2465a995949d9debc6fd2;sequential;;;;d82ff0c3f1e2465a995949d9debc6fd2;/64746ad0f2b84ce2af1f1b627c735866/d82ff0c3f1e2465a995949d9debc6fd2;;
0;07c92f460c704648a82b577d05502384;vertical;;;;Lecture Video;/64746ad0f2b84ce2af1f1b627c735866/d82ff0c3f1e2465a995949d9debc6fd2/07c92f460c704648a82b577d05502384;;
0;4660f2c65fdd4e2e91ae17e72fae4c2a;sequential;;;;4660f2c65fdd4e2e91ae17e72fae4c2a;/64746ad0f2b84ce2af1f1b627c735866/4660f2c65fdd4e2e91ae17e72fae4c2a;;
0;3dd1f4c5a9e9454a96d187499aa700c8;vertical;;;;Lecture Video;/64746ad0f2b84ce2af1f1b627c735866/4660f2c65fdd4e2e91ae17e72fae4c2a/3dd1f4c5a9e9454a96d187499aa700c8;;
0;5ea6e1d3b8f64c48b6d1746765e271bb;vertical;;;;Peer-Learning Question;/64746ad0f2b84ce2af1f1b627c735866/4660f2c65fdd4e2e91ae17e72fae4c2a/5ea6e1d3b8f64c48b6d1746765e271bb;;
0;bf9c782fe6b14a729ccd09c2cd354194;vertical;;;;Peer-Learning Question Video ;/64746ad0f2b84ce2af1f1b627c735866/4660f2c65fdd4e2e91ae17e72fae4c2a/bf9c782fe6b14a729ccd09c2cd354194;;
0;aef5d56575834b6daf6f48d8767c32cf;sequential;;;;aef5d56575834b6daf6f48d8767c32cf;/64746ad0f2b84ce2af1f1b627c735866/aef5d56575834b6daf6f48d8767c32cf;;
0;438911fd266b40ba84842355dda123ad;vertical;;;;Lecture Video;/64746ad0f2b84ce2af1f1b627c735866/aef5d56575834b6daf6f48d8767c32cf/438911fd266b40ba84842355dda123ad;;
0;68407b1db3894861ae38c5e88947ebd8;vertical;;;;Peer-Learning Question;/64746ad0f2b84ce2af1f1b627c735866/aef5d56575834b6daf6f48d8767c32cf/68407b1db3894861ae38c5e88947ebd8;;
0;43aee6770a404ee7ae634dd64535b1fa;vertical;;;;Peer-Learning Question Video ;/64746ad0f2b84ce2af1f1b627c735866/aef5d56575834b6daf6f48d8767c32cf/43aee6770a404ee7ae634dd64535b1fa;;
0;14d32fc87502403dbc5e46573aae6096;sequential;;;;14d32fc87502403dbc5e46573aae6096;/64746ad0f2b84ce2af1f1b627c735866/14d32fc87502403dbc5e46573aae6096;;
0;4c13fb96bb834305b38da081ce499a96;vertical;;;;Lecture Video;/64746ad0f2b84ce2af1f1b627c735866/14d32fc87502403dbc5e46573aae6096/4c13fb96bb834305b38da081ce499a96;;
0;a941406cc60b4c70a0b956ebebd23d50;vertical;;;;Peer-Learning Question;/64746ad0f2b84ce2af1f1b627c735866/14d32fc87502403dbc5e46573aae6096/a941406cc60b4c70a0b956ebebd23d50;;
0;76b5f87366de4165b3583914503ccb27;vertical;;;;Peer-Learning Question Video ;/64746ad0f2b84ce2af1f1b627c735866/14d32fc87502403dbc5e46573aae6096/76b5f87366de4165b3583914503ccb27;;
